network,station,Startdate,Enddate,latitude,longitude,elevation,sample_frequency,duration_info,URL1,URL2,URL3
AC,BCI,2009-12-22,2599-12-31,42.3666,20.067499,500.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AC_BCI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AC_BCI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AC_BCI_3.jpg
AC,KBN,2010-01-01,2599-12-31,40.6236,20.787399,800.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AC_KBN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AC_KBN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AC_KBN_3.jpg
AC,PHP,2010-01-01,2599-12-31,41.6847,20.4408,670.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AC_PHP_1.jpg,http://folk.uib.no/hif002/glimer-figs/AC_PHP_2.jpg,http://folk.uib.no/hif002/glimer-figs/AC_PHP_3.jpg
AC,PUK,2010-01-01,2599-12-31,42.042599,19.892599,900,100,perm,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg
AC,SRN,2010-01-01,2599-12-31,39.880001,20.0005,20,100,perm,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg
AC,TIR,2009-12-31,2599-12-31,41.34769,19.865,247.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AC_TIR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AC_TIR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AC_TIR_3.jpg
AC,TPE,2010-01-01,2599-12-31,40.294701,20.009399,273.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AC_TPE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AC_TPE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AC_TPE_3.jpg
AC,VLO,2009-12-22,2599-12-31,40.468601,19.495501,80.0,100,perm,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg
AE,113A,2011-12-01,2599-12-31,32.7683,-113.7667,118.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AE_113A_1.jpg,http://folk.uib.no/hif002/glimer-figs/AE_113A_2.jpg,http://folk.uib.no/hif002/glimer-figs/AE_113A_3.jpg
AE,319A,2011-12-01,2599-12-31,31.3757,-109.2809,1187.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AE_319A_1.jpg,http://folk.uib.no/hif002/glimer-figs/AE_319A_2.jpg,http://folk.uib.no/hif002/glimer-figs/AE_319A_3.jpg
